manufacturer,brand,model (year),km driven (in thousands),mileage (in kmpl),seating capacity (units),fuel_type,transmission,ground clearance (in mm),boot space (in litres),fuel tank capacity (in litres),max power (in bhp),price (in lakh Rs.)
Hyundai,Hyundai Venue SX Plus 1.0 Turbo DCT,2019,39,18.15,5,Petrol,Automatic,195,350,45,118.35,10.3
Renault,Renault Triber RXZ,2020,54,20,7,Petrol,Manual,182,84,40,71,6.28
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZXI Plus,2022,4,17.03,5,Petrol,Manual,170,328,48,103.26,12.57
Tata,Tata Safari XT Plus,2021,25,16.1,7,Diesel,Manual,205,350,43,168,18.94
Tata,Tata Harrier XZ Dark Edition,2021,29,17,5,Diesel,Manual,205,425,50,88.51,18.48
Honda,Honda City VX,2020,4,18.4,5,Petrol,Manual,165,506,40,119.3,12.48
MG,MG Motors Hector Plus Sharp 2.0 Diesel Turbo MT 6-STR,2021,28,16.65,6,Diesel,Manual,192,155,60,88.51,19.84
Kia,Kia Seltos GTX Plus,2019,26,16.1,5,Petrol,Manual,170,433,50,138,14.97
Renault,Renault Duster 85 PS RxL,2014,88,20.45,5,Diesel,Manual,205,475,50,83,5.7
Tata,Tata Altroz XZ 1.2,2022,12,19.05,5,Petrol,Manual,165,345,37,84.82,8.47
Chevrolet,Chevrolet Beat LS Petrol,2014,33,18.6,5,Petrol,Manual,165,170,35,79,2.73
Hyundai,Hyundai Creta 1.6 SX VTVT,2019,40,15.29,5,Petrol,Manual,190,400,55,122,12.16
Ford,Ford Figo Aspire Titanium Plus 1.5 TDCi,2021,39,19.365,5,Diesel,Manual,174,359,40,88.51,8.12
Maruti Suzuki,Maruti Suzuki Swift VDi,2014,65,22.9,5,Diesel,Manual,170,232,43,74,4.99
Kia,Kia Sonet HTX 1.5,2022,7,24.1,5,Diesel,Manual,205,392,45,88.51,12.9
Maruti Suzuki,Maruti Suzuki Alto K10 VXI,2011,45,20.92,5,Petrol,Manual,160,177,35,67.1,2.19
Hyundai,Hyundai i10 Magna Petrol,2013,90,19.81,5,Petrol,Manual,165,350,35,68,3.32
Hyundai,Hyundai Elite i20 Magna Executive CVT,2018,42,19.8,5,Petrol,Automatic,170,285,45,82,6.82
Tata,Tata Harrier XZ,2019,62,17,5,Diesel,Manual,205,425,50,138,16.69
Hyundai,Hyundai Grand i10 Sportz (O) 1.2 kappa VTVT,2017,40,19.77,5,Petrol,Manual,165,350,43,81,5.42
Volkswagen,Volkswagen Virtus Topline 1.0 TSI AT,2022,7,19.4,5,Petrol,Automatic,179,521,45,114,18.1
Nissan,Nissan Kicks XL Petrol,2021,4,13.9,5,Petrol,Manual,210,400,50,105,8.18
Ford,Ford EcoSport Titanium + 1.5L TDCi,2017,69,22.7,5,Diesel,Manual,200,350,52,99,7.69
Tata,Tata Tiago XZ Plus Dual Tone Roof,2020,40,20,5,Petrol,Manual,170,242,35,85,6.09
Maruti Suzuki,Maruti Suzuki Omni E 8 STR BS-IV,2018,12,16.8,8,Petrol,Manual,165,350,36,34,3.49
Maruti Suzuki,Maruti Suzuki Swift VDi,2014,74,22.9,5,Diesel,Manual,170,232,43,74,4.92
Maruti Suzuki,Maruti Suzuki Swift VDi,2014,70,22.9,5,Diesel,Manual,170,232,43,74,4.98
Maruti Suzuki,Maruti Suzuki Swift Dzire VDi ABS,2015,63,23.4,5,Diesel,Manual,170,320,42,74,5.7
Nissan,Nissan Magnite XV Premium Dual Tone,2021,48,18.75,5,Petrol,Manual,205,336,40,71.02,7.84
Hyundai,Hyundai Creta 1.6 SX Plus,2015,86,19.67,5,Diesel,Manual,190,350,60,126,9.22
Hyundai,Hyundai Elite i20 Asta 1.2,2015,48,18.6,5,Petrol,Manual,170,285,45,82,5.8
Hyundai,Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,2017,22,17.49,5,Petrol,Automatic,165,350,43,81,5.19
Honda,Honda City VX,2014,42,17.8,5,Petrol,Manual,165,350,40,117.3,5.2
Skoda,Skoda Octavia Elegance 1.8 TSI AT,2016,47,14.7,5,Petrol,Automatic,155,590,50,177,11.72
Maruti Suzuki,Maruti Suzuki Baleno Alpha Petrol,2016,33,21.01,5,Petrol,Manual,170,339,37,81.8,5.85
Skoda,Skoda Kushaq Ambition 1.0L TSI AT,2021,11,17.2,5,Petrol,Automatic,188,385,50,114,13.53
Maruti Suzuki,Maruti Suzuki Ignis Zeta MT Petrol,2018,20,20.89,5,Petrol,Manual,180,260,32,81.8,5.15
Hyundai,Hyundai i10 Sportz Petrol,2014,43,20.36,5,Petrol,Manual,165,225,35,68,3.37
Honda,Honda Amaze 1.2 S CVT i-VTEC,2019,92,18.6,5,Petrol,Automatic,165,420,35,88.76,5.79
Maruti Suzuki,Maruti Suzuki Swift Dzire VXI,2015,28,19.1,5,Petrol,Manual,170,320,42,85.8,4.47
Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,2019,16,19.77,5,Petrol,Manual,165,350,43,81,5.61
Volkswagen,Volkswagen Polo Comfortline 1.2L (P),2017,39,16.2,5,Petrol,Manual,165,280,45,74,5.39
Skoda,Skoda Slavia Style 1.0L TSI MT,2022,25,19.47,5,Petrol,Manual,170,521,45,114,13.82
Maruti Suzuki,Maruti Suzuki Dzire VXI AMT,2018,63,24.12,5,Petrol,Automatic,163,378,37,88.5,5.73
Maruti Suzuki,Maruti Suzuki Baleno Alpha Petrol,2017,69,21.01,5,Petrol,Manual,170,339,37,81.8,5.39
Datsun,Datsun Redi-GO A,2021,13,20.71,5,Petrol,Manual,187,222,28,53.64,3.36
Honda,Honda Brio S MT,2016,60,19.4,5,Petrol,Manual,165,175,35,86.8,3.93
Hyundai,Hyundai Venue SX 1.0 Turbo,2019,18,18.27,5,Petrol,Manual,195,350,45,118.35,8.54
Maruti Suzuki,Maruti Suzuki Ciaz Delta Petrol,2019,15,20.65,5,Petrol,Manual,170,510,43,103.25,7.61
MG,MG Motors Astor Sharp 1.5 CVT,2021,9,14.82,5,Petrol,Automatic,180,488,48,108,15.13
Honda,Honda Mobilio S Petrol,2014,30,17.3,7,Petrol,Manual,189,350,42,118,4.77
Hyundai,Hyundai New i20 Asta (O) 1.0 Turbo DCT,2020,23,20.2,5,Petrol,Automatic,170,311,37,118,10.3
Tata,Tata Safari XZA,2021,22,19.365,7,Diesel,Automatic,205,447,50,167.67,18.16
Renault,Renault Duster RxL Petrol,2013,43,13.06,5,Petrol,Manual,205,350,50,102.53,4.49
Honda,Honda Amaze 1.2 V CVT Petrol,2019,30,18.3,5,Petrol,Automatic,170,420,35,88.76,6.88
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 LXI CNG,2018,31,20.5,5,Petrol+cng,Manual,165,350,35,58,4.68
Maruti Suzuki,Maruti Suzuki Swift VXI,2020,14,21.21,5,Petrol,Manual,163,268,37,81.8,6.33
Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT CNG (Outside Fitted),2019,26,19.77,5,Petrol+cng,Manual,165,350,43,81,6.18
Renault,Renault Triber RXZ Dual Tone,2022,14,20,7,Petrol,Manual,182,84,40,71,7.75
Toyota,Toyota Urban Cruiser Premium Grade AT,2021,17,18.76,5,Petrol,Automatic,198,328,48,103.26,11.26
Volkswagen,Volkswagen Taigun GT Plus 1.5 TSI DSG,2021,35,17.8,5,Petrol,Automatic,188,50,50,148,17.5
Hyundai,Hyundai i10 Magna Petrol,2013,46,19.81,5,Petrol,Manual,165,350,35,68,3.01
Hyundai,Hyundai Fluidic Verna 4S 1.6 CRDi SX,2016,88,24.8,5,Diesel,Manual,165,350,43,126,7.62
Maruti Suzuki,Maruti Suzuki Baleno Alpha Petrol,2019,10,21.01,5,Petrol,Manual,170,339,37,81.8,7.68
Maruti Suzuki,Maruti Suzuki Baleno Alpha Petrol,2017,55,21.01,5,Petrol,Manual,170,339,37,81.8,6.42
Maruti Suzuki,Maruti Suzuki Alto K10 VXI,2019,15,24.07,5,Petrol,Manual,160,177,35,67,4.18
Mahindra,Mahindra XUV700 AX 3 Diesel MT 7 STR,2022,12,15,7,Diesel,Manual,200,350,60,153,18.4
Maruti Suzuki,Maruti Suzuki Ciaz Alpha Petrol AT,2018,39,20.73,5,Petrol,Automatic,170,510,43,91.1,8.27
Maruti Suzuki,Maruti Suzuki Alto K10 VXI Plus,2022,1,24.39,5,Petrol,Manual,160,350,35,66,5.26
Hyundai,Hyundai Verna 1.4 VTVT EX,2018,42,17.43,5,Petrol,Manual,165,465,43,88.51,7.26
Maruti Suzuki,Maruti Suzuki S-Cross Zeta 1.3,2018,31,23.65,5,Diesel,Manual,180,353,48,89,9.86
Hyundai,Hyundai Verna S plus Petrol,2022,10,19.365,5,Petrol,Manual,170,480,45,88.51,9.9
Honda,Honda City V,2013,71,17,5,Petrol,Manual,160,506,42,118,5.06
Chevrolet,Chevrolet Spark LS 1.0,2014,81,18,5,Petrol,Manual,170,350,38,88.51,2.65
Honda,Honda City V 5th Gen,2021,19,18.4,5,Petrol,Manual,165,506,40,119.3,11.09
Maruti Suzuki,Maruti Suzuki Swift ZXI Plus,2020,33,21.21,5,Petrol,Manual,163,268,37,81.8,7.26
Tata,Tata Hexa XE,2018,51,19.365,5,Diesel,Manual,170,350,43,88.51,9.46
Toyota,Toyota Urban Cruiser High Grade MT,2022,19,19.365,5,Petrol,Manual,170,328,48,88.51,9.1
Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,2019,30,19.77,5,Petrol,Manual,165,350,43,81,5.99
Hyundai,Hyundai Verna 1.6 CRDI SX + AT,2018,90,22,5,Diesel,Automatic,165,480,45,88.51,11.39
Maruti Suzuki,Maruti Suzuki Swift ZXI Plus,2018,51,21.21,5,Petrol,Manual,163,268,37,81.8,6.6
Ford,Ford EcoSport Titanium 1.0L Ecoboost,2015,46,18.88,5,Petrol,Manual,200,346,52,123.37,5.64
Maruti Suzuki,Maruti Suzuki S-Cross Delta 1.3,2020,41,24,5,Diesel,Manual,180,375,48,89,9.2
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 LXI CNG,2017,23,20.5,5,Petrol+cng,Manual,165,350,35,58,4.48
Toyota,Toyota Yaris G,2018,56,17.18,5,Petrol,Manual,165,476,42,88.51,8.7
Skoda,Skoda Rapid New Style Petrol,2017,45,15,5,Petrol,Manual,163,460,55,103,5.96
Maruti Suzuki,Maruti Suzuki Swift VDi ABS,2017,52,22.9,5,Diesel,Manual,170,232,43,74,6.52
Hyundai,Hyundai Verna 1.6 VTVT SX (O) AT,2018,21,17,5,Petrol,Automatic,165,480,45,121.3,9.72
Maruti Suzuki,Maruti Suzuki Alto 800 LXI,2014,47,22.74,5,Petrol,Manual,160,177,35,47.3,2.44
Volkswagen,Volkswagen Ameo 1.0 Highline Plus Petrol,2019,51,19.44,5,Petrol,Manual,165,330,45,88.51,6.22
Maruti Suzuki,Maruti Suzuki Baleno Zeta Diesel,2017,35,27.39,5,Diesel,Manual,170,339,37,74,7.17
Maruti Suzuki,Maruti Suzuki Baleno Delta Diesel,2018,31,27.39,5,Diesel,Manual,170,339,37,74,7.08
Renault,Renault Duster 110 PS RxZ 4x2 MT,2013,94,19.01,5,Diesel,Manual,205,475,50,108.45,5.09
Volkswagen,Volkswagen Polo Trendline 1.0 (P),2021,32,17.74,5,Petrol,Manual,165,280,45,75.1,6.2
Tata,Tata Nexon XZA Plus Dual Tone Roof AMT Petrol,2018,38,17,5,Petrol,Automatic,209,350,44,118,8.88
Maruti Suzuki,Maruti Suzuki Ritz Vdi,2015,61,23.2,5,Diesel,Manual,170,236,43,73,4.61
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 LXI CNG,2021,35,32.5,5,Petrol+cng,Manual,165,341,60,88.51,5.79
Maruti Suzuki,Maruti Suzuki Alto 800 LXI,2021,12,22.05,5,Petrol,Manual,160,177,35,47.33,3.82
Maruti Suzuki,Maruti Suzuki Swift VXI AMT,2020,9,21.21,5,Petrol,Automatic,163,268,37,81.8,6.14
Nissan,Nissan Kicks XV Premium (O) Dual Tone Diesel,2019,78,19.365,5,Diesel,Manual,210,400,50,108.5,8.64
Maruti Suzuki,Maruti Suzuki Swift ZXI,2011,35,19.365,5,Petrol,Manual,170,232,43,88.51,3.49
Maruti Suzuki,Maruti Suzuki Swift VXI CNG (Outside Fitted),2014,50,19.365,5,Petrol+cng,Manual,170,232,42,88.51,4.61
Skoda,Skoda Kushaq Style 1.5L TSI DSG (6 Airbags),2021,16,17.7,5,Petrol,Automatic,188,385,50,148,15.77
Hyundai,Hyundai Creta 1.4 S,2019,62,21.38,5,Diesel,Manual,190,400,55,89,11.5
Tata,Tata Altroz XZ 1.2,2020,12,19.05,5,Petrol,Manual,165,345,37,84.82,7.85
Chevrolet,Chevrolet Beat LT Petrol,2016,55,18.6,5,Petrol,Manual,165,350,35,79,2.82
Toyota,Toyota Innova Crysta 2.4 GX 7 STR,2017,64,15.1,7,Diesel,Manual,176,350,55,148,15.7
Hyundai,Hyundai Xcent SX Petrol,2019,26,20.14,5,Petrol,Manual,165,407,43,81.86,5.79
Datsun,Datsun Redi-GO T (O),2018,62,20.71,5,Petrol,Manual,187,222,28,53.64,2.68
Tata,Tata Punch Kaziranga Edition IRA,2022,7,18.9,5,Petrol,Manual,187,366,37,84,7.89
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 VXI,2018,34,18.9,5,Petrol,Manual,165,350,35,67.1,4.1
Volkswagen,Volkswagen Tiguan AllSpace 2.0 TSI AT,2019,47,17.01,7,Petrol,Automatic,201,340,60,88.51,22.75
Hyundai,Hyundai Elantra 2.0 SX(O) AT,2017,23,14.62,5,Petrol,Automatic,167,420,50,149.92,11.58
Maruti Suzuki,Maruti Suzuki Dzire ZXI Plus AMT,2017,84,24.12,5,Petrol,Automatic,170,378,37,88.5,5.79
Hyundai,Hyundai Grand i10 Sportz 1.2 CRDi,2017,100,24.95,5,Diesel,Manual,165,256,43,74,4.32
Ford,Ford EcoSport Titanium 1.5L TDCi,2018,55,21.7,5,Diesel,Manual,200,352,52,98.86,7.73
Mahindra,Mahindra Thar LX 4 STR Convertible Diesel MT,2021,60,15.2,4,Diesel,Manual,226,350,57,130,12.94
Volkswagen,Volkswagen Ameo Highline1.2L Plus (P),2017,62,17,5,Petrol,Manual,163,330,45,73.75,5.44
Hyundai,Hyundai Venue SX Plus 1.0 Turbo DCT,2019,31,18.15,5,Petrol,Automatic,195,350,45,118.35,9.41
Hyundai,Hyundai Grand i10 Asta 1.2 Kappa VTVT (O),2014,44,18.9,5,Petrol,Manual,165,350,43,81,4.27
Mahindra,Mahindra Thar LX 4 STR Convertible Diesel AT,2020,52,15,4,Diesel,Automatic,226,350,57,130,14.56
Honda,Honda Brio S MT,2015,68,19.4,5,Petrol,Manual,165,175,35,86.8,3.95
Volkswagen,Volkswagen Jetta Comfortline TDI,2015,66,19.33,5,Diesel,Manual,170,350,55,88.51,6.99
Maruti Suzuki,Maruti Suzuki Alto K10 VXI Plus,2022,1,24.39,5,Petrol,Manual,160,350,35,66,5.08
Maruti Suzuki,Maruti Suzuki Baleno Alpha AT Petrol,2018,55,19.56,5,Petrol,Automatic,170,339,37,81.8,6.57
Maruti Suzuki,Maruti Suzuki S-Cross Alpha 1.5,2020,16,18.55,5,Petrol,Manual,170,375,48,103.25,10.06
Maruti Suzuki,Maruti Suzuki Swift Dzire ZXI,2012,38,17.5,5,Petrol,Manual,170,440,43,85.8,3.97
Hyundai,Hyundai Accent Executive,2013,30,19.365,5,Petrol,Manual,172,350,45,88.51,3.38
Maruti Suzuki,Maruti Suzuki Baleno Alpha AT Petrol,2018,60,19.56,5,Petrol,Automatic,170,339,37,81.8,6.45
Honda,Honda Amaze 1.2L VX CVT,2017,32,18,5,Petrol,Automatic,165,400,35,86.9,5.99
Tata,Tata Nexon XZ Plus (O),2020,33,17,5,Petrol,Manual,209,350,44,118,9.57
Maruti Suzuki,Maruti Suzuki Alto 800 VXI,2018,41,22,5,Petrol,Manual,160,177,35,47.3,3.18
Hyundai,Hyundai Accent Executive,2012,53,19.365,5,Petrol,Manual,172,350,45,88.51,2.99
Maruti Suzuki,Maruti Suzuki Swift Dzire VDI,2014,60,23.4,5,Diesel,Manual,170,320,42,74,4.8
Hyundai,Hyundai i20 N Line N8 1.0 Turbo DCT,2022,2,20.2,5,Petrol,Automatic,170,311,37,118,10.89
Maruti Suzuki,Maruti Suzuki Wagon R 1.2 ZXI,2022,24,20.52,5,Petrol,Manual,170,341,32,88,5.79
Hyundai,Hyundai Grand i10 Sportz 1.1 CRDi,2016,100,18.9,5,Diesel,Manual,165,350,43,70,3.91
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDI PLUS AT Dual Tone,2018,95,24.3,5,Diesel,Automatic,198,328,48,89,7.46
Nissan,Nissan Magnite XV Premium Turbo CVT Dual Tone,2021,28,17.7,5,Petrol,Automatic,205,336,40,99,8.76
Maruti Suzuki,Maruti Suzuki S-Presso VXI Opt CNG,2021,22,31.19,5,Petrol+cng,Manual,180,270,27,58,4.95
Mahindra,Mahindra KUV100 K4 6 STR,2016,60,18.15,6,Petrol,Manual,170,350,35,88.51,3.39
Hyundai,Hyundai Elite i20 Sportz Plus 1.2,2020,34,19.8,5,Petrol,Manual,170,285,40,82,6.72
Honda,Honda Amaze 1.2 VX i-VTEC,2018,83,18.6,5,Petrol,Manual,170,420,35,88.76,5.74
Hyundai,Hyundai Grand i10 Sportz (O) 1.2 kappa VTVT,2017,30,19.77,5,Petrol,Manual,165,350,43,81,5.38
Hyundai,Hyundai Elite i20 Asta 1.2 CNG (Outside fitted),2018,51,19.8,5,Petrol+cng,Manual,170,285,45,82,6.72
Honda,Honda WR-V i-DTEC VX,2017,76,23.7,5,Diesel,Manual,188,363,40,97.89,7.19
Maruti Suzuki,Maruti Suzuki Alto 800 LXI (O),2022,26,22.05,5,Petrol,Manual,160,177,35,47.33,3.86
Ford,Ford EcoSport Trend + 1.5L TDCi,2017,64,21.7,5,Diesel,Manual,200,352,52,98.96,6.78
Tata,Tata Tigor Revotron XZA plus AMT,2021,50,19.365,5,Petrol,Automatic,170,350,43,88.51,7.4
Hyundai,Hyundai Creta 1.6 SX Plus Petrol,2017,41,15.29,5,Petrol,Manual,190,400,60,122,8.99
Maruti Suzuki,Maruti Suzuki Ciaz ZXI+ AT,2016,15,19.12,5,Petrol,Automatic,170,510,43,91,7.39
Mahindra,Mahindra XUV 300 W8 Diesel,2019,84,20,5,Diesel,Manual,180,259,42,115,9.59
Skoda,Skoda Superb Style TSI AT,2018,38,14.67,5,Petrol,Automatic,164,350,66,177,22.01
Honda,Honda City VX,2019,35,17.4,5,Petrol,Manual,165,510,40,117.6,9.53
Maruti Suzuki,Maruti Suzuki Baleno Alpha AT Petrol,2017,50,19.56,5,Petrol,Automatic,170,339,37,81.8,7.22
Maruti Suzuki,Maruti Suzuki Celerio ZXI AMT,2016,28,23.1,5,Petrol,Automatic,165,235,35,67.04,4.43
Maruti Suzuki,Maruti Suzuki Dzire VXI,2019,13,23.26,5,Petrol,Manual,170,378,37,88.5,6.86
Tata,Tata Punch Kaziranga Edition AMT IRA,2022,22,19.365,5,Petrol,Automatic,170,350,43,88.51,8.87
Ford,Ford EcoSport Titanium 1.5L Ti-VCT AT,2017,48,19.365,5,Petrol,Automatic,200,352,52,88.51,6.67
Datsun,Datsun Redi-GO T (O),2019,9,20.71,5,Petrol,Manual,187,222,28,53.64,3.36
Tata,Tata Zest XMS Diesel,2015,50,23,5,Diesel,Manual,165,390,44,89,4.63
Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,2019,74,19.77,5,Petrol,Manual,165,350,43,81,5.35
Toyota,Toyota Corolla Altis G AT Petrol,2016,32,16.7,5,Petrol,Automatic,175,470,55,138,9.8
Renault,Renault Kiger RXT (O) AMT Dual Tone,2023,4,19.1,5,Petrol,Automatic,205,405,40,71,8.33
Nissan,Nissan Micra Active XV Safety Pack,2018,52,19.49,5,Petrol,Manual,154,251,41,67,4.4
Maruti Suzuki,Maruti Suzuki Baleno Alpha AT Petrol,2019,17,21.01,5,Petrol,Automatic,170,339,37,81.8,8.27
Datsun,Datsun Redi-GO S,2019,17,19.365,5,Petrol,Manual,170,222,28,88.51,3.28
Renault,Renault Duster 110 PS RXZ 4X2 AMT,2016,65,19.6,5,Diesel,Automatic,205,475,50,108.45,7.56
Kia,Kia Carnival Limousine,2020,53,19.365,5,Diesel,Automatic,170,350,43,88.51,28.29
Maruti Suzuki,Maruti Suzuki Ritz Vdi,2014,75,23.2,5,Diesel,Manual,170,236,43,73,3.84
Honda,Honda Jazz VX Diesel,2018,70,27.3,5,Diesel,Manual,165,350,40,98.6,6.73
Maruti Suzuki,Maruti Suzuki Wagon R 1.2 VXI AMT,2021,27,20.5,5,Petrol,Automatic,170,341,32,88.51,5.94
Hyundai,Hyundai Elite i20 Magna Plus 1.2,2020,24,19.8,5,Petrol,Manual,170,285,40,82,6.75
Tata,Tata Nexon XZ Plus (O),2022,15,17,5,Petrol,Manual,209,350,44,118,10.64
Volkswagen,Volkswagen Vento Highline Diesel,2018,48,22.27,5,Diesel,Manual,163,494,55,108.6,8.23
Maruti Suzuki,Maruti Suzuki Ciaz SHVS RS Diesel,2016,56,28.09,5,Diesel,Manual,170,510,43,88.5,6.99
Maruti Suzuki,Maruti Suzuki Alto K10 VXI,2014,42,20.92,5,Petrol,Manual,160,177,35,67.1,2.75
Maruti Suzuki,Maruti Suzuki Swift ZXI,2019,41,21.21,5,Petrol,Manual,163,268,37,81.8,6.6
Mahindra,Mahindra Thar LX 4 STR Hard Top Petrol AT,2022,12,19.365,4,Petrol,Automatic,226,350,57,150,15.82
Maruti Suzuki,Maruti Suzuki S-Cross Zeta 1.3,2016,87,23.65,5,Diesel,Manual,180,353,48,89,6.93
Maruti Suzuki,Maruti Suzuki Swift ZDi Plus,2018,29,25.2,5,Diesel,Manual,163,268,42,74,7.91
Maruti Suzuki,Maruti Suzuki Alto 800 VXI,2018,15,22,5,Petrol,Manual,160,177,35,47.3,3.45
Renault,Renault Kwid RXT,2016,42,25.12,5,Petrol,Manual,180,300,28,53.3,3.2
Maruti Suzuki,Maruti Suzuki Swift VDi,2014,86,22.9,5,Diesel,Manual,170,232,43,74,3.4
Skoda,Skoda Rapid Ambition 1.6 MPI MT Plus,2013,48,15,5,Petrol,Manual,168,460,55,104,2.99
Maruti Suzuki,Maruti Suzuki Swift Dzire VXI,2013,82,19.1,5,Petrol,Manual,170,320,42,85.8,2.84
Renault,Renault Duster RXZ Petrol,2020,43,16.42,5,Petrol,Manual,205,475,50,88.51,8.64
Hyundai,Hyundai i20 N Line N8 1.0 Turbo DCT,2021,4,20.2,5,Petrol,Automatic,170,311,37,118,10.59
Ford,Ford Freestyle Trend Plus 1.2 Ti-VCT,2019,21,19.365,5,Petrol,Manual,170,257,42,88.51,4.75
Maruti Suzuki,Maruti Suzuki Eeco 5 STR WITH A/C+HTR,2010,34,16.11,5,Petrol,Manual,160,540,40,72.42,1.78
Maruti Suzuki,Maruti Suzuki Swift ZXI Plus AMT,2019,54,21.21,5,Petrol,Automatic,163,268,37,81.8,5.98
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 VXI,2016,41,18.9,5,Petrol,Manual,165,350,35,67.1,3.4
Ford,Ford Figo Duratec Petrol ZXI 1.2,2014,13,11,5,Petrol,Manual,170,350,45,71,2.64
Honda,Honda Jazz VX Diesel,2017,49,27.3,5,Diesel,Manual,165,350,40,98.6,4.82
Hyundai,Hyundai Grand i10 Sportz 1.2 CRDi,2017,48,24.95,5,Diesel,Manual,165,256,43,74,3.99
Hyundai,Hyundai Grand i10 Nios Asta 1.2 Kappa VTVT,2021,12,20.7,5,Petrol,Manual,165,260,37,81.86,6.86
Maruti Suzuki,Maruti Suzuki Dzire ZDi Plus AMT,2018,34,28.4,5,Diesel,Automatic,163,378,37,74.02,7.6
Tata,Tata Altroz XZ Plus 1.2,2021,36,19.05,5,Petrol,Manual,165,345,37,84.82,6.89
Mahindra,Mahindra Marazzo M8,2018,29,17.3,7,Diesel,Manual,200,190,45,88.51,8.68
Maruti Suzuki,Maruti Suzuki Celerio ZXI,2022,11,21.63,5,Petrol,Manual,165,235,35,67.04,5.47
Datsun,Datsun GO T,2016,21,19.02,5,Petrol,Manual,170,265,35,67.05,2.48
Tata,Tata Nexon XT Petrol,2018,62,19.365,5,Petrol,Manual,170,350,44,88.51,4.8
Hyundai,Hyundai Elantra 1.6 SX MT,2019,61,22.7,5,Diesel,Manual,170,350,56,126,10.46
Ford,Ford EcoSport Titanium 1.5L Ti-VCT,2020,27,15.9,5,Petrol,Manual,200,352,52,120.69,7.77
Hyundai,Hyundai Venue SX 1.0 (O) Turbo Dual Tone,2019,10,18.27,5,Petrol,Manual,170,350,45,118.35,8.16
Toyota,Toyota Corolla Altis G Petrol,2018,30,14.28,5,Petrol,Manual,175,470,55,138.03,10.77
Toyota,Toyota Etios V,2014,44,17.57,5,Petrol,Manual,170,595,45,80,3.21
Maruti Suzuki,Maruti Suzuki S-Cross Alpha 1.5,2020,11,18.55,5,Petrol,Manual,170,375,48,103.25,8.77
Maruti Suzuki,Maruti Suzuki Alto 800 VXI,2020,11,22.05,5,Petrol,Manual,160,177,35,47.3,3.53
Maruti Suzuki,Maruti Suzuki Celerio X ZXI AMT,2019,40,21.63,5,Petrol,Automatic,165,235,35,67,4.56
Hyundai,Hyundai Elite i20 Asta 1.2,2018,21,18.6,5,Petrol,Manual,170,285,45,82,5.96
Maruti Suzuki,Maruti Suzuki Swift Dzire VXI,2014,61,19.1,5,Petrol,Manual,170,320,42,85.8,3.57
Maruti Suzuki,Maruti Suzuki Vitara Brezza LDi,2019,91,24.3,5,Diesel,Manual,198,350,48,89,5.61
Maruti Suzuki,Maruti Suzuki S-Cross Zeta 1.5,2021,7,18.55,5,Petrol,Manual,180,375,48,88.51,8.32
Maruti Suzuki,Maruti Suzuki Wagon R 1.2 VXI,2019,43,20.52,5,Petrol,Manual,170,341,32,81.8,4.51
Ford,Ford EcoSport Trend 1.5L TDCi,2016,49,22.7,5,Diesel,Manual,100,346,52,99,4.93
Hyundai,Hyundai New Santro 1.1 Sportz MT,2020,18,20.3,5,Petrol,Manual,170,235,35,68.07,4.49
Maruti Suzuki,Maruti Suzuki Swift VXI,2018,19,21.21,5,Petrol,Manual,163,268,37,81.8,5.22
Toyota,Toyota Corolla Altis GL Diesel,2018,72,21.3,5,Diesel,Manual,175,470,55,87,9.99
Honda,Honda WR-V i-VTEC S,2019,17,17.5,5,Petrol,Manual,188,363,40,88.7,6.67
Hyundai,Hyundai Venue SX Plus 1.0 Turbo DCT,2020,16,18.15,5,Petrol,Automatic,195,350,45,118.35,9.92
Maruti Suzuki,Maruti Suzuki Swift Dzire VXI,2016,20,19.1,5,Petrol,Manual,170,320,42,85.8,4.89
Tata,Tata Nexon XZ Plus (O),2021,7,17,5,Petrol,Manual,209,350,44,118,10.33
Maruti Suzuki,Maruti Suzuki Ciaz Alpha Petrol,2021,8,20.65,5,Petrol,Manual,170,510,43,103.25,8.26
Ford,Ford EcoSport Trend 1.5L Ti-VCT,2015,80,15.8,5,Petrol,Manual,200,346,52,109,4.29
Nissan,Nissan Terrano XL (P),2018,28,13.2,5,Petrol,Manual,170,350,50,88.51,4.98
Maruti Suzuki,Maruti Suzuki Ritz VXI Elate Limited Edition,2014,56,19.365,5,Petrol,Manual,170,350,43,88.51,2.69
Maruti Suzuki,Maruti Suzuki Alto 800 LXI,2021,7,22.05,5,Petrol,Manual,160,177,35,47.33,3.44
Ford,Ford EcoSport Trend + 1.5L TDCi,2018,48,21.7,5,Diesel,Manual,200,352,52,98.96,6.91
