manufacturer,brand,model (year),km driven (in thousands),mileage (in kmpl),seating capacity (units),fuel_type,transmission,ground clearance (in mm),boot space (in litres),fuel tank capacity (in litres),max power (in bhp),price (in lakh Rs.)
Maruti Suzuki,Maruti Suzuki S-Presso VXI Opt CNG,2020,81,31.19,5,Petrol+cng,Manual,180,270,27,58,4
Maruti Suzuki,Maruti Suzuki Ciaz Alpha Petrol,2018,35,20.73,5,Petrol,Manual,170,510,43,91.1,7.95
Maruti Suzuki,Maruti Suzuki Swift VXI,2022,15,21.21,5,Petrol,Manual,163,268,37,81.8,6.8
Tata,Tata Safari XZ Plus,2021,36,16.14,7,Diesel,Manual,205,350,50,88.51,19.14
Hyundai,Hyundai Venue SX Plus 1.0 Turbo DCT,2021,10,18.15,5,Petrol,Automatic,195,350,45,118.35,11.18
Ford,Ford EcoSport Trend 1.5L TDCi,2019,89,21.7,5,Diesel,Manual,200,352,52,98.96,6.96
Honda,Honda City ZX,2022,13,18.4,5,Petrol,Manual,165,506,40,119.35,13.49
Maruti Suzuki,Maruti Suzuki Celerio VXI CNG,2019,37,30.47,5,Petrol+cng,Manual,165,235,60,58.33,4.9
Nissan,Nissan Magnite XV Premium Turbo Dual Tone,2020,20,19.365,5,Petrol,Manual,170,350,43,88.51,8.41
Maruti Suzuki,Maruti Suzuki Baleno Alpha Petrol,2016,37,21.01,5,Petrol,Manual,170,339,37,81.8,5.81
Maruti Suzuki,Maruti Suzuki XL6 Zeta MT Petrol,2022,14,19.01,6,Petrol,Manual,180,209,45,103.2,11.2
Tata,Tata Nexon XM Petrol,2019,39,17,5,Petrol,Manual,209,350,44,118.3,6.99
Maruti Suzuki,Maruti Suzuki Baleno Zeta Petrol,2021,70,21.01,5,Petrol,Manual,170,339,37,81.8,6.89
Ford,Ford EcoSport Titanium 1.5L Ti-VCT,2019,34,15.9,5,Petrol,Manual,200,352,52,120.69,7.3
