,car-body
256,"('Hyundai New i20 Sportz 1.2 MT', 'Hatchback')"
257,"('Volkswagen Polo Trendline 1.0 (P)', 'Hatchback')"
258,"('Volkswagen Jetta Trendline TDI', 'Sedan')"
259,"('Honda CR-V 1.6 AT i-DTEC', 'SUV')"
260,"('Maruti Suzuki Swift VDi', 'Hatchback')"
261,"('Maruti Suzuki Vitara Brezza ZDi Plus', 'SUV')"
262,"('Datsun Redi-GO 1.0 Gold', 'Hatchback')"
263,"('Hyundai Creta 1.6 SX (O)', 'SUV')"
264,"('Volkswagen Taigun Highline 1.0 TSI MT', 'SUV')"
265,"('Hyundai Creta 1.6 SX AT VTVT', 'SUV')"
266,"('Hyundai Aura SX 1.2 (O) Petrol', 'Sedan')"
267,"('Renault Duster RXS Turbo CVT Petrol', 'SUV')"
268,"('MG Motors Hector Plus Sharp 2.0 Diesel Turbo M...', 'SUV')"
269,"('Maruti Suzuki Wagon R 1.0 LXI (O) CNG', 'Hatchback')"
270,"('Renault Kwid RXL', 'Hatchback')"
271,"('Mahindra Marazzo M8', 'MPV')"
272,"('Maruti Suzuki XL6 Alpha MT Petrol', 'MPV')"
273,"('Ford Freestyle Titanium Plus 1.5 TDCI', 'Hatchback')"
274,"('Tata Tigor Revotron XZ+', 'Sedan')"
275,"('Mahindra XUV500 W5', 'SUV')"
276,"('Nissan Terrano XV Premium amt diesel', 'SUV')"
277,"('Maruti Suzuki Ertiga VXI CNG', 'MPV')"
278,"('Hyundai i20 Asta 1.4 CRDI', 'Hatchback')"
279,"('Maruti Suzuki Dzire VDi AMT', 'Sedan')"
280,"('Skoda Superb Elegance 1.8 TSI AT', 'Sedan')"
281,"('Honda Jazz V', 'Hatchback')"
282,"('Tata Safari XT', 'SUV')"
283,"('Tata Hexa XT 4X4', 'SUV')"
284,"('Maruti Suzuki Ciaz Delta AT Petrol', 'Sedan')"
285,"('Volkswagen Vento Comfortline Diesel', 'Sedan')"
286,"('Tata Harrier XZ Plus Dual Tone', 'SUV')"
287,"('Honda Jazz VX MT', 'Hatchback')"
288,"('Honda WR-V i-VTEC S', 'SUV')"
289,"('Mahindra XUV500 W11 AT', 'SUV')"
290,"('Kia Seltos HTX G', 'SUV')"
291,"('Tata Nexon XZ Plus Dual Tone Roof Diesel', 'SUV')"
292,"('MG Motors Gloster Sharp 2.0 Twin Turbo 7 STR 4WD', 'SUV')"
293,"('Kia Sonet HTX 1.0 iMT', 'SUV')"
294,"('Hyundai Verna Fluidic 1.6 CRDi SX', 'Sedan')"
295,"('Hyundai Santa Fe 2 WD AT', 'SUV')"
296,"('Mahindra XUV500 W10', 'SUV')"
297,"('Toyota Corolla Altis G Diesel', 'Sedan')"
298,"('Honda City 1.5 V MT', 'Sedan')"
299,"('Tata Nexon XM S Petrol', 'SUV')"
300,"('Maruti Suzuki Wagon R 1.2 ZXI', 'Hatchback')"
301,"('Maruti Suzuki S-Cross Alpha 1.6', 'SUV')"
302,"('Skoda Rapid New Style TDI AT', 'Sedan')"
303,"('Ford Figo Aspire Titanium 1.2 Ti-VCT', 'Sedan')"
304,"('Hyundai Grand i10 Magna 1.2 Kappa VTVT CNG', 'Hatchback')"
305,"('Renault Duster RXZ Petrol', 'SUV')"
306,"('Mahindra XUV500 W9 AT', 'SUV')"
307,"('Chevrolet Sail U-VA 1.2 LS', 'Hatchback')"
308,"('Toyota Corolla Altis VL AT Petrol', 'Sedan')"
309,"('Maruti Suzuki Swift Dzire ZDI', 'Sedan')"
310,"('Mahindra XUV 300 W6 Diesel', 'SUV')"
311,"('Honda Mobilio S Petrol', 'MPV')"
312,"('Ford EcoSport SE 1.5L TDCi', 'SUV')"
313,"('Maruti Suzuki New Ertiga ZDI +', 'MPV')"
314,"('Maruti Suzuki Dzire ZXI', 'Sedan')"
315,"('Maruti Suzuki Ciaz Alpha 1.5 Diesel', 'Sedan')"
316,"('Honda Amaze 1.5 S (O)', 'Sedan')"
317,"('Maruti Suzuki Baleno Zeta Diesel', 'Hatchback')"
318,"('Honda City SV', 'Sedan')"
319,"('Maruti Suzuki Vitara Brezza VDi (O)', 'SUV')"
320,"('Maruti Suzuki Celerio VXI', 'Hatchback')"
321,"('Hyundai New i20 Asta 1.0 Turbo IMT', 'Hatchback')"
322,"('Maruti Suzuki S-Cross Zeta 1.3', 'SUV')"
323,"('Hyundai New Santro 1.1 Sportz Petrol + CNG (outside fitted)', 'Hatchback')"
324,"('Tata Tigor Revotron XZA Plus', 'Sedan')"
325,"('Hyundai Elite i20 Asta CVT', 'Hatchback')"
326,"('Renault Triber RXT AMT', 'MPV')"
327,"('Tata Punch Creative AMT Dual Tone', 'Hatchback')"
328,"('Mahindra Thar LX 4 STR Hard Top Petrol MT', 'SUV')"
329,"('Nissan Magnite XL', 'SUV')"
330,"('Nissan Magnite XV Premium Turbo (O)', 'SUV')"
331,"('Jeep Compass Limited 2.0 Diesel 4x4', 'SUV')"
332,"('Hyundai Verna 1.6 CRDI SX', 'Sedan')"
333,"('Hyundai i20 Active 1.2 SX', 'Hatchback')"
334,"('Jeep Compass Limited (O) 2.0 Diesel', 'SUV')"
335,"('Hyundai i20 Active 1.2 S', 'Hatchback')"
336,"('Volkswagen Ameo Highline1.2L (P)', 'Sedan')"
337,"('Maruti Suzuki Swift VDi ABS', 'Hatchback')"
338,"('Volkswagen Ameo Comfortline Plus 1.2L (P)', 'Sedan')"
339,"('Hyundai Elite i20 Magna Executive 1.2', 'Hatchback')"
340,"('Renault Duster RXS Petrol', 'SUV')"
341,"('MG Motors Hector Smart 1.5 Petrol Turbo DCT', 'SUV')"
342,"('Tata Harrier XT', 'SUV')"
343,"('Kia Seltos HTX D', 'SUV')"
344,"('Skoda Rapid New Ambition TDI', 'Sedan')"
345,"('Hyundai Verna 1.6 CRDI SX (O)', 'Sedan')"
346,"('Volkswagen Vento Trendline Petrol', 'Sedan')"
347,"('Hyundai i20 Magna (O) 1.2', 'Hatchback')"
348,"('Mahindra XUV 300 W8 (O) Petrol', 'SUV')"
349,"('Toyota Innova Crysta 2.4 V 7 STR', 'MPV')"
350,"('Tata Tigor Revotorq XM', 'Sedan')"
351,"('Kia Carens Prestige Plus 1.5 Diesel 7 STR', 'MPV')"
352,"('Ford Figo Duratorq Diesel EXI 1.4', 'Hatchback')"
353,"('Maruti Suzuki Swift LXI', 'Hatchback')"
354,"('Hyundai Grand i10 Magna 1.2 Kappa VTVT CNG (outside fitted)', 'Hatchback')"
355,"('Toyota Yaris V', 'Sedan')"
356,"('Maruti Suzuki Ertiga VDI ABS ANNIVERSARY EDITION', 'MPV')"
357,"('Hyundai Eon Era +', 'Hatchback')"
358,"('Mahindra KUV100 NXT K8 6 STR', 'Hatchback')"
359,"('Mahindra XUV500 W11', 'SUV')"
360,"('Ford EcoSport Signature Edition Diesel', 'SUV')"
361,"('Toyota Yaris G', 'Sedan')"
362,"('Hyundai Creta SX Turbo DCT Petrol', 'SUV')"
363,"('Hyundai i20 Magna (O) 1.4 CRDI', 'Hatchback')"
364,"('Renault Duster 110 PS RXZ 4X2 AMT', 'SUV')"
365,"('Volkswagen Polo Highline Plus 1.2L (P)', 'Hatchback')"
366,"('Maruti Suzuki Ignis Alpha MT Petrol', 'Hatchback')"
